Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-02-21;53,86;54,229;53,123;58,656;53,123;55,336;54,188;824,0548104877239;44654;10;
2020-02-20;53,123;53,86;53,123;54,967;53,123;54,967;54,398;687,1641265086777;37380,5;7;
2020-02-19;53,492;54,229;52,754;54,967;52,754;54,967;54,023;191,10481624797543;10324;6;
2020-02-18;54,598;54,967;55,336;55,336;54,598;55,336;55,335;1382,4603728576946;76499;20;
2020-02-17;53,492;54,229;52,754;54,967;52,754;54,967;53,988;624,8178743994091;33732,5;7;
2020-02-14;52,754;53,86;52,754;53,86;52,754;53,86;52,865;337,4829733740843;17841;7;
2020-02-13;53,123;53,86;52,754;53,86;52,754;53,86;53,196;33,88383266808075;1802,5;3;
2020-02-12;52,754;53,86;52,754;52,754;52,754;52,754;52,754;17,61959298740199;929,5;1;
2020-02-11;53,123;53,86;52,754;53,86;52,754;53,86;53,144;764,4192649919017;40624,5;7;
2020-02-10;51,278;52,754;53,123;53,123;51,647;53,123;52,574;103,00685131096549;5415,5;8;
2020-02-07;51,647;53,123;;;;53,123;;;;0;
2020-02-06;51,647;53,123;52,754;53,123;51,647;53,123;52,775;431,0023515379872;22746;12;
2020-02-05;51,647;52,754;52,016;52,754;51,647;52,754;52,059;242,60824190345818;12630;6;
2020-02-04;52,016;53,123;52,754;53,492;52,385;52,385;52,528;775,2620914456876;40723;8;
2020-02-03;52,385;53,492;52,385;53,86;52,385;53,86;52,74;73,18907856305442;3860;5;
2020-01-31;52,754;53,86;53,86;53,86;52,385;52,754;53,644;355,10256636148625;19049;4;
2020-01-30;53,492;53,86;53,492;54,229;53,492;53,492;53,816;910,7974221180106;49015,5;11;
2020-01-29;53,492;54,229;51,647;54,229;51,647;54,229;53,413;37,94989258825044;2027;3;
2020-01-28;52,754;53,123;53,123;54,229;53,123;54,229;53,891;48,79271904203628;2629,5;4;
2020-01-27;53,123;54,229;53,123;53,123;52,754;52,754;53,098;60,99089880254535;3238,5;3;
2020-01-24;53,123;54,967;54,967;54,967;53,123;54,967;54,213;150,44421704627854;8156;10;
2020-01-23;54,598;54,967;53,123;55,336;53,123;54,967;55,105;5533,907551350949;304948,5;24;
2020-01-22;50,909;52,385;49,065;53,123;48,327;53,123;50,751;1900,2053360259685;96437;35;
2020-01-21;48,696;50,171;49,434;49,434;48,327;49,434;48,72;497,41466356742546;24234;6;
2020-01-20;49,434;50,54;49,434;50,171;49,434;50,171;49,651;230,4100621429491;11440;4;
2020-01-17;49,803;50,54;49,803;49,803;49,434;49,803;49,749;532,6538495422294;26499;6;
2020-01-16;49,803;50,909;52,016;52,016;49,803;50,909;51,263;597,7108082649445;30640,5;8;
2020-01-15;51,278;52,385;51,647;52,385;51,278;51,278;51,922;902,6653022776712;46868;9;
2020-01-14;50,54;51,647;49,434;51,647;49,434;51,647;50,743;2028,9639001646753;102956;10;
2020-01-13;49,434;50,54;49,434;49,434;49,434;49,434;49,434;12,19817976050907;603;1;
2020-01-10;49,434;50,171;48,696;50,171;48,696;49,065;49,477;139,6013905924927;6907;3;
2020-01-09;49,065;50,171;49,065;49,065;49,065;49,065;49,065;17,61959298740199;864,5;3;
2020-01-08;49,434;50,171;49,065;49,434;49,065;49,434;49,266;14,90888637395553;734,5;3;
2020-01-07;49,065;50,54;49,434;49,434;49,434;49,434;49,434;10,842826453785841;536;1;
2020-01-06;49,803;51,278;54,967;54,967;50,171;50,171;51,12;538,0752627691223;27506,5;5;
2020-01-03;49,803;51,647;49,803;52,016;49,065;51,647;50,80;1119,521831353388;56871,5;7;
2020-01-02;50,54;51,647;48,327;50,909;48,327;50,909;50,561;607,1982814120071;30700,5;10;
